,code,date,거래대금,시가총액
0,330590,2021-11-26,1097,13727
1,101330,2021-11-26,631,848
2,056080,2021-11-26,157,1140
3,042110,2021-11-26,335,821
4,014570,2021-11-26,243,951
5,336370,2021-11-26,30749,31201
6,237820,2021-11-26,248,873
7,034220,2021-11-26,55873,74604
8,004920,2021-11-26,257,399
9,388800,2021-11-26,103,106
10,090350,2021-11-25,2030,2220
11,250030,2021-11-25,11,155
12,012170,2021-11-25,6934,1324
13,002460,2021-11-25,1548,1506
14,106240,2021-11-25,39703,5129
15,031330,2021-11-25,1177,4634
16,138930,2021-11-25,8412,28486
17,049630,2021-11-25,691,816
18,039230,2021-11-25,0,0
19,115450,2021-11-25,8666,4198
20,091990,2021-11-24,54453,131464
21,058430,2021-11-24,4168,3564
22,004980,2021-11-24,5264,3027
23,049830,2021-11-24,795,932
24,085810,2021-11-24,667,712
25,234920,2021-11-24,84,458
26,126340,2021-11-24,1487,2648
27,067990,2021-11-24,2530,2156
28,090850,2021-11-24,1709,2493
29,019990,2021-11-24,2497,1146
30,008730,2021-11-23,2106,5679
31,000640,2021-11-23,1802,6791
32,950140,2021-11-23,862,1472
33,008600,2021-11-23,1488,1206
34,357580,2021-11-23,3784,2077
35,001200,2021-11-23,2006,3758
36,079170,2021-11-23,196,425
37,093520,2021-11-23,9063,1393
38,093370,2021-11-23,103733,21438
39,150440,2021-11-23,10,289
40,004870,2021-11-22,73,797
41,317240,2021-11-22,173,859
42,030190,2021-11-22,1904,11748
43,057540,2021-11-22,593,933
44,034230,2021-11-22,8244,14096
45,032800,2021-11-22,860,698
46,011790,2021-11-22,119892,71760
47,285490,2021-11-22,9598,4239
48,089140,2021-11-22,4107,2342
49,045300,2021-11-22,853,513
