,code,date,거래대금,시가총액
0,078340,2021-11-10,938713,21782
1,005930,2021-11-10,663953,4190787
2,066410,2021-11-10,559216,3068
3,086980,2021-11-10,403308,4525
4,293490,2021-11-10,397214,68270
5,376300,2021-11-10,394166,13400
6,047820,2021-11-10,393203,5923
7,063080,2021-11-10,391447,8969
8,094480,2021-11-10,376422,6767
9,034020,2021-11-10,310661,133307
10,005930,2021-11-09,785532,4208696
11,034020,2021-11-09,543950,136938
12,064260,2021-11-09,426017,6446
13,000660,2021-11-09,373692,793522
14,052690,2021-11-09,354142,36385
15,247540,2021-11-09,350109,122201
16,293490,2021-11-09,332626,73573
17,121800,2021-11-09,305978,8152
18,078340,2021-11-09,302694,19389
19,066970,2021-11-09,290923,77557
20,005930,2021-11-08,780514,4214666
21,293490,2021-11-08,520595,74096
22,035720,2021-11-08,502532,556701
23,036570,2021-11-08,396935,138090
24,302440,2021-11-08,388600,168682
25,034020,2021-11-08,325253,137716
26,112040,2021-11-08,308290,60861
27,000660,2021-11-08,233692,782602
28,068270,2021-11-08,232550,271731
29,323410,2021-11-08,219323,264155
30,005930,2021-11-05,893825,4190787
31,004830,2021-11-05,750125,3700
32,293490,2021-11-05,579538,73125
33,034020,2021-11-05,483804,137457
34,247540,2021-11-05,471637,109400
35,036570,2021-11-05,438066,136993
36,112040,2021-11-05,429822,54908
37,007860,2021-11-05,383012,4073
38,039240,2021-11-05,374981,1295
39,035720,2021-11-05,360897,572289
40,034020,2021-11-04,1341387,136160
41,293490,2021-11-04,1021845,68120
42,005930,2021-11-04,839689,4214666
43,036570,2021-11-04,793215,130626
44,035720,2021-11-04,774890,578969
45,112040,2021-11-04,628393,55573
46,377300,2021-11-04,621080,220320
47,052690,2021-11-04,564242,33480
48,094820,2021-11-04,502438,3076
49,011700,2021-11-04,355149,1432
50,377300,2021-11-03,2236488,251608
51,005930,2021-11-03,901885,4202726
52,112040,2021-11-03,638629,63189
53,086520,2021-11-03,508521,21768
54,293490,2021-11-03,422903,66472
55,035720,2021-11-03,368942,554474
56,000660,2021-11-03,324442,768042
57,036570,2021-11-03,301891,144237
58,051910,2021-11-03,300634,553443
59,034020,2021-11-03,298548,127601
60,005930,2021-11-02,1204673,4268394
61,047820,2021-11-02,517748,5960
62,121800,2021-11-02,458797,7947
63,293490,2021-11-02,390450,64530
64,258830,2021-11-02,338840,2021
65,001390,2021-11-02,336661,5685
66,000660,2021-11-02,311462,782602
67,086980,2021-11-02,268668,4463
68,034020,2021-11-02,251361,130195
69,302440,2021-11-02,249891,178245
70,005930,2021-11-01,807716,4172878
71,293490,2021-11-01,782515,65650
72,064260,2021-11-01,583473,6184
73,348370,2021-11-01,578832,12086
74,000660,2021-11-01,329823,775322
75,112040,2021-11-01,301152,61027
76,034020,2021-11-01,284034,124748
77,058630,2021-11-01,255486,2394
78,011000,2021-11-01,252466,13586
79,121800,2021-11-01,230999,7079
80,005930,2021-10-29,1196597,4166908
81,112040,2021-10-29,593526,60794
82,000660,2021-10-29,412811,749842
83,081150,2021-10-29,324293,1200
84,121800,2021-10-29,315689,6577
85,068270,2021-10-29,307413,276559
86,064260,2021-10-29,286691,5667
87,066570,2021-10-29,284202,197195
88,051910,2021-10-29,267912,590151
89,006400,2021-10-29,258286,504731
90,005930,2021-10-28,1459533,4220636
91,000660,2021-10-28,669797,775322
92,066410,2021-10-28,601699,2505
93,037030,2021-10-28,583719,1252
94,034020,2021-10-28,525929,125526
95,092220,2021-10-28,366631,4014
96,051910,2021-10-28,355240,600034
97,000270,2021-10-28,331686,348612
98,282880,2021-10-28,307400,3448
99,009150,2021-10-28,301060,124738
